"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","HighestSingingViewCountDay7","HighestViewSingingVideoUrlDay7","HighestViewSingingVideoTitleDay7","HighestViewSingingVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30","HighestSingingViewCountDay30","HighestViewSingingVideoUrlDay30","HighestViewSingingVideoTitleDay30","HighestViewSingingVideoThumbnailDay30"
"5","https://www.youtube.com/channel/UCSnJ7To9jR42Xx3Puf1Ar6Q","Ness9s奈斯糖","11000","0","158","197","http://youtu.be/fVQ4353uL_Y","《我想成為影之強者！Master of Garden》#01 超人氣動畫改編手遊！完成任務還送SS角色！卡池抽爆！｜Ness9s奈斯糖","https://i.ytimg.com/vi/fVQ4353uL_Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4exZELrBveRExTGFKkirxo1gHAg","0","","","","183","685","http://youtu.be/hWhXy-PfQ_g","《勝利女神：妮姬 NIKKE》#04 抽卡大對決！2024新卡池抽紅蓮！抽step！｜Ness9s奈斯糖 ft.@koroch.4903","https://i.ytimg.com/vi/hWhXy-PfQ_g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFLctVWpWt2xWmMbLR1of_A5NzvQ","190","http://youtu.be/Bzw96ICcd7w","歌回設備測試+雜談🎙 希望狐設備能乖乖！｜Ness9s奈斯糖","https://i.ytimg.com/vi/Bzw96ICcd7w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIDNfeO6vULoXEgo3JWcCS8ueDHw"
"26","https://www.youtube.com/channel/UCjv4bfP_67WLuPheS-Z8Ekg","浠","191000","0","19444","106335","http://youtu.be/Z8vh7LdIfd8","浠Mizuki 1st 3D Live『Bon Voyage!』#MizukiBV3D #3D演唱會","https://i.ytimg.com/vi/Z8vh7LdIfd8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC45c5d6TA6P-HJDvbFY_pqdDXsdg","0","","","","7995","106335","http://youtu.be/Z8vh7LdIfd8","浠Mizuki 1st 3D Live『Bon Voyage!』#MizukiBV3D #3D演唱會","https://i.ytimg.com/vi/Z8vh7LdIfd8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC45c5d6TA6P-HJDvbFY_pqdDXsdg","57241","http://youtu.be/K8V0M3vbKDs","【朝活歌枠】不可能有人早上也唱晚上也唱吧？今年的最後就要唱爆✨朝も夜も歌うぞ？！初見さん大歓迎🎵【浠Mizuki Karaoke】#shorts  #縦型配信","https://i.ytimg.com/vi/K8V0M3vbKDs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC30-gRUE0DR7UDavsmKS84_LTEEA"
"43","https://www.youtube.com/channel/UCKe1Q0YIwT-hzrZs_uxGb2g","稻乙緹","55600","0","4837","6732","http://youtu.be/tdCCP2t0W5M","信仰と存在 | Covered by 稻乙緹","https://i.ytimg.com/vi/tdCCP2t0W5M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOYwTwJwnjxhOFrW5naRRvxPPkBA","0","","","","11195","52488","http://youtu.be/6Qz7SJfvauk","內 有 騷 狐 | 稻乙緹","https://i.ytimg.com/vi/6Qz7SJfvauk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBjod1KJacSXwifFXL2XzyYaFznw","0","","",""
"44","https://www.youtube.com/channel/UCltL6Tvv1aKrrYt4tnkmNtw","帕豹","55200","0","4600","11687","http://youtu.be/cnmIEQuY8R8","男生不知道的女生小秘密! 很多女生都會這樣做! 這是真的! #vtuber #vtuber中文 #帕豹pabo #台灣vtuber #vtuber精華 #vtuberclip","https://i.ytimg.com/vi/cnmIEQuY8R8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoXLet8pAfNtR3Q5MxKFS4e9MI5g","3974","http://youtu.be/l1x3P7wsKNk","【突擊歌回】您的一則新訊息  ♡  嗷嗚~ #vtuber","https://i.ytimg.com/vi/l1x3P7wsKNk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABmb9QC247jEtcrnBNPfUli8bX9A","4657","24881","http://youtu.be/wBR0kNPpKNg","【BeYourLover】鏡頭警告! 如果你是屬於比較害羞的少年少女!一定不可以錯過這次的健康器具! ♡  嗷嗚~ #vtuber #BeYourLover","https://i.ytimg.com/vi/wBR0kNPpKNg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBygZMHU5imLvYJyWVFYR9leWvJ7w","5996","http://youtu.be/qO8FWqY58oE","【突擊歌回】會不會變成胖子直播呢 ♡  嗷嗚~ #vtuber","https://i.ytimg.com/vi/qO8FWqY58oE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1PDK-bf8ntAW3xZ8tqlZOjoQEUg"
"47","https://www.youtube.com/channel/UC_KEI-aB1kt0qHnVC2xuX8g","極彩天繪","2220","0","0","0","","","","0","","","","67","660","http://youtu.be/vzoScPXr_4M","【#縦型配信】 唱歌聊天！#初見さん大歓迎 【極彩天繪】","https://i.ytimg.com/vi/vzoScPXr_4M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBL20yPbw3fcZ_NWbMNr119e7_Pvg","0","","",""
"54","https://www.youtube.com/channel/UC8FQ_7amNGvt6sMIfGGVECQ","鐵匠B.S.","1350","0","43","199","http://youtu.be/hYrVPM_-n4Q","【(Part.2 )1400訂閱衝刺】唱歌、雜談、玩遊戲隨機掉落！  #縦型配信 #shorts #歌枠 【鐵匠｜貓貓匠 Vtuber】","https://i.ytimg.com/vi/hYrVPM_-n4Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8tb0WrSM6eYjt7sid9nZ5PEoyHQ","199","http://youtu.be/hYrVPM_-n4Q","【(Part.2 )1400訂閱衝刺】唱歌、雜談、玩遊戲隨機掉落！  #縦型配信 #shorts #歌枠 【鐵匠｜貓貓匠 Vtuber】","https://i.ytimg.com/vi/hYrVPM_-n4Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8tb0WrSM6eYjt7sid9nZ5PEoyHQ","40","199","http://youtu.be/hYrVPM_-n4Q","【(Part.2 )1400訂閱衝刺】唱歌、雜談、玩遊戲隨機掉落！  #縦型配信 #shorts #歌枠 【鐵匠｜貓貓匠 Vtuber】","https://i.ytimg.com/vi/hYrVPM_-n4Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8tb0WrSM6eYjt7sid9nZ5PEoyHQ","199","http://youtu.be/hYrVPM_-n4Q","【(Part.2 )1400訂閱衝刺】唱歌、雜談、玩遊戲隨機掉落！  #縦型配信 #shorts #歌枠 【鐵匠｜貓貓匠 Vtuber】","https://i.ytimg.com/vi/hYrVPM_-n4Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8tb0WrSM6eYjt7sid9nZ5PEoyHQ"
"60","https://www.youtube.com/channel/UCdekm6MVTBWof6u0vkQwyPA","紅梅","1500","0","98","98","http://youtu.be/J7qK4SGTk9w","台灣人無法根除的諧音血統【20231122紅梅精華】","https://i.ytimg.com/vi/J7qK4SGTk9w/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIFEoWDAP&rs=AOn4CLC-KzYMpqQkwJFA9Ys1YDU3yC9yDg","0","","","","110","490","http://youtu.be/Nic5NgRdD_4","鬧鬼學校就會在廁所發生點什麼ft.笠真守【20230802紅梅精華】","https://i.ytimg.com/vi/Nic5NgRdD_4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQ7LdvuKZkhuodCuUW_G7aljxatA","0","","",""
"67","https://www.youtube.com/channel/UC_wZTg59Tq6GqyPnFe_ICjQ","千草まる","1360","0","52","52","http://youtu.be/utPr05np_JA","【HAINYA WORLD：海亞世界】  那個按鍵為什麼設置在這裡RRR【直播記錄檔】","https://i.ytimg.com/vi/utPr05np_JA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc6PIlNVMNobGcyAon21Bp34VrAg","0","","","","52","216","http://youtu.be/gzFQKAjjjLw","【Never Breakup：永不分手】開啟新遊戲！我們被綁再一起啦XD ft.青羽ミ【千草まる​】","https://i.ytimg.com/vi/gzFQKAjjjLw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCl4u38F16NHdGVp-f9qcEef1SMEg","0","","",""
"68","https://www.youtube.com/channel/UClCygZk-T8H-Q2w-LDHlxQw","焦兒","12800","0","266","304","http://youtu.be/LaLuZHHwGWM","換了新皮馬上秀爛，爆頭一發一發迎接2024年《特戰英豪 Valorant》","https://i.ytimg.com/vi/LaLuZHHwGWM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkuZHppjZQLGdvjTw5kT9AXMow_A","0","","","","565","1597","http://youtu.be/byxNog9bfpk","進擊的巨人OST Dead on Arrival DOA 爵士鼓 Drum Cover","https://i.ytimg.com/vi/byxNog9bfpk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArH0hliD4_KO30C7C590hGoxL-ow","0","","",""
"70","https://www.youtube.com/channel/UC6oqmpqc_WhQ6XrD4E28V_w","鮭魚","255","0","0","0","","","","0","","","","57","115","http://youtu.be/aL7QNnlXtl0","【寶可夢朱紫:藍之圓盤】我好想玩我好想玩我好想玩【鮭魚Shamon】","https://i.ytimg.com/vi/aL7QNnlXtl0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1D4n6AStEyvNo2xxkHmxLDNG6-w","0","","",""
